Layers,Units,Epochs,Batch Size,Activation,Optimizer,Loss,Predictions,MAPE
3,50,30,16,relu,rmsprop,mse,"[93.56966, 92.88687, 92.45426, 91.88348, 91.8352, 91.80009, 91.773094, 91.76971]",0.38318262740986153
3,50,30,16,relu,rmsprop,huber_loss,"[85.32965, 85.00636, 84.71997, 84.33005, 84.31844, 84.308174, 84.300545, 84.30016]",0.4342244776218816
3,50,30,16,tanh,adam,mse,"[134.64966, 133.07762, 135.97353, 142.61763, 142.88074, 144.38495, 146.05106, 146.3686]",0.18842776862829086
3,50,30,16,tanh,adam,huber_loss,"[127.38571, 125.73751, 127.586975, 131.91628, 131.94295, 132.79665, 133.72546, 133.85934]",0.17129287169835544
3,50,30,16,tanh,rmsprop,mse,"[117.48367, 116.54403, 117.000244, 118.11314, 118.07212, 118.18211, 118.293175, 118.29814]",0.21796357508550562
3,50,30,16,tanh,rmsprop,huber_loss,"[116.81999, 115.99794, 116.37758, 117.29241, 117.260574, 117.34077, 117.42006, 117.42319]",0.22125773161633994
3,50,30,32,relu,adam,mse,"[83.634254, 82.966225, 82.38872, 81.53013, 81.48596, 81.44596, 81.41311, 81.41036]",0.45177080732331715
3,50,30,32,relu,adam,huber_loss,"[79.88951, 79.438095, 79.00475, 78.360115, 78.33898, 78.318825, 78.302574, 78.301674]",0.473525826530519
3,50,30,32,relu,rmsprop,mse,"[87.026855, 86.687706, 86.410484, 86.02173, 86.00942, 85.9989, 85.9908, 85.99038]",0.42290979988937494
3,50,30,32,relu,rmsprop,huber_loss,"[84.490105, 84.328415, 84.17703, 83.98051, 83.97745, 83.97473, 83.972786, 83.972725]",0.4371322603543916
3,50,30,32,tanh,adam,mse,"[133.00662, 131.34105, 134.1165, 140.46529, 140.68587, 142.1493, 143.75998, 144.0652]",0.18100524300909315
3,50,30,32,tanh,adam,huber_loss,"[132.69301, 131.32446, 133.63112, 138.83272, 138.99265, 139.99333, 141.07257, 141.24783]",0.17093124416954292
3,50,30,32,tanh,rmsprop,mse,"[117.73055, 116.74247, 117.24374, 118.44693, 118.4038, 118.53084, 118.65813, 118.664665]",0.21665580459329864
3,50,30,32,tanh,rmsprop,huber_loss,"[116.32052, 115.629196, 115.95498, 116.700424, 116.67977, 116.73846, 116.79365, 116.79599]",0.22360209390112284
3,50,50,16,relu,adam,mse,"[128.41331, 126.99452, 128.80034, 133.02791, 133.09923, 133.90042, 134.77554, 134.90892]",0.16823543607367342
3,50,50,16,relu,adam,huber_loss,"[134.38304, 132.63058, 136.01573, 143.94304, 144.40117, 146.6914, 149.31046, 149.98573]",0.20060994226462142
3,50,50,16,relu,rmsprop,mse,"[116.45139, 115.684975, 116.02265, 116.841125, 116.81245, 116.878914, 116.94445, 116.94671]",0.22309036354981363
3,50,50,16,relu,rmsprop,huber_loss,"[106.98162, 106.55663, 106.502396, 106.53281, 106.51646, 106.515015, 106.51575, 106.51512]",0.28661664406395954
3,50,50,16,tanh,adam,mse,"[118.0833, 116.59447, 117.279274, 119.08133, 118.965485, 119.2259, 119.50717, 119.52076]",0.21496596449397837
3,50,50,16,tanh,adam,huber_loss,"[116.814125, 115.28578, 115.81786, 117.390755, 117.244606, 117.45067, 117.68655, 117.68771]",0.22202207570097726
3,50,50,16,tanh,rmsprop,mse,"[118.1126, 117.03557, 117.63181, 119.00766, 118.962875, 119.1286, 119.291016, 119.302086]",0.21451342743838922
3,50,50,16,tanh,rmsprop,huber_loss,"[115.77883, 115.23704, 115.4466, 115.98093, 115.96502, 115.99423, 116.02369, 116.02418]",0.2263852135001883
3,50,50,32,relu,adam,mse,"[132.30463, 130.83974, 133.34775, 139.17285, 139.39957, 140.70805, 142.16425, 142.44861]",0.1752471293683417
3,50,50,32,relu,adam,huber_loss,"[126.8927, 125.58371, 127.05479, 130.51523, 130.54147, 131.11433, 131.73181, 131.81047]",0.1724691648085089
3,50,50,32,relu,rmsprop,mse,"[117.399765, 116.40455, 116.88497, 118.056465, 118.0114, 118.13431, 118.257515, 118.26357]",0.21833512312773495
3,50,50,32,relu,rmsprop,huber_loss,"[115.26295, 114.595795, 114.8334, 115.44087, 115.41557, 115.4555, 115.49573, 115.49629]",0.22894881418428012
3,50,50,32,tanh,adam,mse,"[118.88224, 117.16144, 118.001884, 120.222694, 120.07071, 120.43663, 120.8387, 120.86124]",0.2106996581919322
3,50,50,32,tanh,adam,huber_loss,"[117.18601, 115.684, 116.26065, 117.88697, 117.753235, 117.97287, 118.217964, 118.22305]",0.21992746756304563
3,50,50,32,tanh,rmsprop,mse,"[118.45261, 117.29204, 117.9554, 119.48725, 119.437164, 119.636635, 119.83335, 119.84818]",0.21268067356130665
3,50,50,32,tanh,rmsprop,huber_loss,"[116.86278, 116.07199, 116.449486, 117.341934, 117.3139, 117.39109, 117.46632, 117.46954]",0.2209999479276995
3,64,30,16,relu,adam,mse,"[99.13918, 97.66756, 97.00881, 96.18277, 95.96907, 95.84573, 95.742676, 95.710495]",0.35427606687396185
3,64,30,16,relu,adam,huber_loss,"[88.61531, 87.65909, 86.9418, 85.87452, 85.78137, 85.70289, 85.63621, 85.627335]",0.42232580393218644
3,64,30,16,relu,rmsprop,mse,"[99.09729, 98.40745, 98.08822, 97.7191, 97.66983, 97.64176, 97.62118, 97.61758]",0.34461752776062426
3,64,30,16,relu,rmsprop,huber_loss,"[88.52497, 88.26557, 88.05841, 87.7807, 87.77316, 87.76692, 87.76238, 87.76218]",0.411443004647026
3,64,30,16,tanh,adam,mse,"[119.92398, 118.06437, 119.08459, 121.73204, 121.57084, 122.052505, 122.5833, 122.623024]",0.2048222715863725
3,64,30,16,tanh,adam,huber_loss,"[119.59442, 118.01814, 118.90459, 121.129456, 121.021545, 121.379265, 121.76171, 121.79041]",0.20667810405429043
3,64,30,16,tanh,rmsprop,mse,"[118.16411, 117.08426, 117.6788, 119.06222, 119.01632, 119.18202, 119.345505, 119.35637]",0.2142791124490093
3,64,30,16,tanh,rmsprop,huber_loss,"[116.64275, 115.90054, 116.258286, 117.083305, 117.05957, 117.128456, 117.19407, 117.19699]",0.22203762909095076
3,64,30,32,relu,adam,mse,"[95.20198, 94.133675, 93.528076, 92.683914, 92.56819, 92.48785, 92.41976, 92.407005]",0.37735386111046043
3,64,30,32,relu,adam,huber_loss,"[96.469864, 95.452835, 94.91325, 94.19116, 94.086876, 94.01837, 93.9618, 93.95085]",0.36750728517548786
3,64,30,32,relu,rmsprop,mse,"[102.66238, 101.97777, 101.755775, 101.558014, 101.51155, 101.4927, 101.48032, 101.477066]",0.3193217769223945
3,64,30,32,relu,rmsprop,huber_loss,"[97.051544, 96.71303, 96.532524, 96.31646, 96.30443, 96.29687, 96.29149, 96.29106]",0.35443277152014463
3,64,30,32,tanh,adam,mse,"[119.18421, 117.58449, 118.397705, 120.53867, 120.411896, 120.74196, 121.10518, 121.12585]",0.20912081976217664
3,64,30,32,tanh,adam,huber_loss,"[120.300705, 118.86106, 119.70745, 121.865715, 121.77719, 122.088295, 122.42749, 122.45008]",0.2032268089598284
3,64,30,32,tanh,rmsprop,mse,"[118.301605, 117.179436, 117.79072, 119.23723, 119.18575, 119.36204, 119.53862, 119.54997]",0.21361197923451042
3,64,30,32,tanh,rmsprop,huber_loss,"[116.50737, 115.80429, 116.13792, 116.9082, 116.886604, 116.94741, 117.00519, 117.00758]",0.2227143047573666
3,64,50,16,relu,adam,mse,"[130.0726, 128.525, 130.67715, 135.81851, 135.94695, 137.04651, 138.27386, 138.49059]",0.16723513902373854
3,64,50,16,relu,adam,huber_loss,"[128.8959, 127.647835, 129.17851, 132.87328, 132.90802, 133.47945, 134.11528, 134.18968]",0.16695012297458026
3,64,50,16,relu,rmsprop,mse,"[116.63734, 115.8851, 116.19191, 116.99511, 116.96423, 117.02274, 117.08408, 117.08533]",0.22233849183305496
3,64,50,16,relu,rmsprop,huber_loss,"[114.85515, 114.214355, 114.42284, 114.97939, 114.954994, 114.989815, 115.02526, 115.025604]",0.2311637831885629
3,64,50,16,tanh,adam,mse,"[122.29703, 120.82583, 121.9077, 124.55108, 124.48827, 124.90544, 125.35561, 125.397354]",0.19221914244909702
3,64,50,16,tanh,adam,huber_loss,"[124.42578, 122.717606, 124.26851, 127.91452, 127.881996, 128.59816, 129.36583, 129.4686]",0.17962999256069415
3,64,50,16,tanh,rmsprop,mse,"[118.36891, 117.23491, 117.886284, 119.37749, 119.3308, 119.522484, 119.710106, 119.7244]",0.21309567647581568
3,64,50,16,tanh,rmsprop,huber_loss,"[116.9321, 116.12159, 116.51327, 117.43324, 117.404076, 117.48594, 117.56547, 117.569016]",0.2206474724692981
3,64,50,32,relu,adam,mse,"[126.49571, 125.29721, 126.59704, 129.67223, 129.68712, 130.1424, 130.63347, 130.68854]",0.1735451456055528
3,64,50,32,relu,adam,huber_loss,"[114.540596, 112.994095, 113.343376, 114.534454, 114.36529, 114.50988, 114.6812, 114.67254]",0.2350393691680798
3,64,50,32,relu,rmsprop,mse,"[117.14605, 116.28609, 116.6814, 117.66164, 117.6254, 117.71174, 117.79988, 117.802986]",0.21971736308820727
3,64,50,32,relu,rmsprop,huber_loss,"[115.113495, 114.65065, 114.81723, 115.23778, 115.225815, 115.24567, 115.265236, 115.26548]",0.2295126600764498
3,64,50,32,tanh,adam,mse,"[121.7901, 120.29273, 121.32763, 123.8953, 123.82029, 124.22308, 124.660774, 124.6987]",0.1949898241510063
3,64,50,32,tanh,adam,huber_loss,"[123.37046, 121.77311, 123.07473, 126.20296, 126.14851, 126.700134, 127.29515, 127.36144]",0.1858350501234762
3,64,50,32,tanh,rmsprop,mse,"[118.421265, 117.28475, 117.953674, 119.46347, 119.41922, 119.617035, 119.80881, 119.824326]",0.2127576987150338
3,64,50,32,tanh,rmsprop,huber_loss,"[116.819664, 116.04456, 116.423584, 117.298546, 117.27275, 117.34875, 117.421455, 117.4248]",0.22117009846291769
5,32,30,16,relu,adam,mse,"[68.31094, 68.3035, 68.294365, 68.27461, 68.274605, 68.2746, 68.27458, 68.27458]",0.5428646422537753
5,32,30,16,relu,adam,huber_loss,"[78.25648, 78.20548, 78.15902, 78.06271, 78.06243, 78.06214, 78.061806, 78.061806]",0.47711959880092464
5,32,30,16,relu,rmsprop,mse,"[74.92012, 74.91666, 74.91279, 74.904724, 74.904724, 74.904724, 74.904724, 74.904724]",0.4985089885408056
5,32,30,16,relu,rmsprop,huber_loss,"[82.998856, 82.99704, 82.99547, 82.992004, 82.992004, 82.992, 82.992, 82.992]",0.44437936540641415
5,32,30,16,tanh,adam,mse,"[125.18423, 124.67491, 124.92022, 125.881256, 125.86393, 125.893524, 125.941444, 125.94129]",0.18248132633213762
5,32,30,16,tanh,adam,huber_loss,"[124.95955, 124.3001, 124.63381, 125.87417, 125.84592, 125.89867, 125.980156, 125.980064]",0.1830913483358947
5,32,30,16,tanh,rmsprop,mse,"[112.33202, 112.302635, 112.304016, 112.32112, 112.32106, 112.321075, 112.32111, 112.32111]",0.2480567656677781
5,32,30,16,tanh,rmsprop,huber_loss,"[111.71886, 111.67149, 111.67355, 111.69833, 111.69814, 111.6982, 111.698296, 111.698296]",0.25223246713452746
5,32,30,32,relu,adam,mse,"[70.857544, 70.835365, 70.81172, 70.7626, 70.76256, 70.76249, 70.76242, 70.76242]",0.5261254939652287
5,32,30,32,relu,adam,huber_loss,"[69.63732, 69.629395, 69.620285, 69.601395, 69.60139, 69.60138, 69.601364, 69.601364]",0.5339835761023483
5,32,30,32,relu,rmsprop,mse,"[80.44182, 80.43651, 80.43175, 80.42238, 80.42237, 80.42237, 80.422356, 80.422356]",0.46156505844701096
5,32,30,32,relu,rmsprop,huber_loss,"[72.68689, 72.68334, 72.67924, 72.671104, 72.6711, 72.6711, 72.6711, 72.6711]",0.5134620567264201
5,32,30,32,tanh,adam,mse,"[123.77631, 123.25017, 123.49212, 124.41423, 124.39578, 124.42644, 124.474205, 124.47407]",0.18903122270551903
5,32,30,32,tanh,adam,huber_loss,"[128.11525, 127.59371, 127.91449, 129.08543, 129.06898, 129.10883, 129.17097, 129.17114]",0.1698354880945988
5,32,30,32,tanh,rmsprop,mse,"[112.980484, 112.90127, 112.906746, 112.957535, 112.95702, 112.9572, 112.957565, 112.95756]",0.24383999881258844
5,32,30,32,tanh,rmsprop,huber_loss,"[110.03437, 109.99795, 109.99707, 110.010445, 110.01033, 110.010345, 110.01038, 110.01038]",0.2635125487330183
5,32,50,16,relu,adam,mse,"[91.57384, 91.28096, 91.106064, 90.79095, 90.78243, 90.77591, 90.769035, 90.76878]",0.39125448225946546
5,32,50,16,relu,adam,huber_loss,"[95.90834, 95.7319, 95.64782, 95.50967, 95.506584, 95.50468, 95.50276, 95.50271]",0.3601390471379644
5,32,50,16,relu,rmsprop,mse,"[105.93331, 105.92181, 105.919815, 105.91987, 105.91986, 105.91986, 105.91986, 105.91986]",0.2908839838999986
5,32,50,16,relu,rmsprop,huber_loss,"[92.48887, 92.48709, 92.48603, 92.484024, 92.484024, 92.484024, 92.484024, 92.484024]",0.38083608816528736
5,32,50,16,tanh,adam,mse,"[109.19726, 108.83336, 108.80655, 108.908005, 108.896355, 108.89669, 108.89979, 108.89942]",0.2708909318184422
